version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 6-8,domains: science,,,,,,
cnidarian,science,"6,7,8",21,,MC,5,"A. Instead, many used a scenario approach to conclude that solitary sessile polyps represent the ancestral ____ form. B. This is a slide of Obelia, a colonial marine ____ that shows a distinct polymorphism in the organization of its members.",*cnidarian,diploid,vitamin,boron
displacement,science,"6,7,8",21,,MC,5,A. This will result in a downward ____ of the marginal cost curve from to. B. The ____ of large numbers of rural dwellers to urban areas has increased overcrowding in urban schools.,*displacement,viscosity,transmission,semiarid
elastic,science,"6,7,8",21,,MC,5,A. That ____ band will snap if you stretch it too far. B. A lot of sportswear is made of very ____ material.,spacesuit,propulsion,reticulum,*elastic
equinox,science,"6,7,8",21,,MC,5,"A. The ____ had surely passed already, and perhaps the solstice was approaching. B. Dominic knows that in the 1960s the ____ had progressed to Aquarius.",crustacean,*equinox,semen,trophic
neon,science,"6,7,8",21,,MC,5,A. A ____ sign flashed on and off above the door. B. It would be a sacrilege to put a ____ sign on that beautiful old building.,*neon,osteoporosis,uncharged,reddish
node,science,"6,7,8",21,,MC,5,A. Printing a section heading as a ____ name of the semantic net also sometimes seemed inappropriate for the printed form. B. The depth of any ____ is the length of the path from the root to it.,meiosis,epithelial,subscript,*node
prokaryote,science,"6,7,8",21,,MC,5,"A. Plant pathogenic bacteria are tiny ____ with the characteristic of rapid propagation. B. Flagellum (pl. flagella) A whiplike extension of ____ cells, with a basal body at its base, whose beat causes locomotion of the cell.",protostar,extract,*prokaryote,obesity
semiconductor,science,"6,7,8",21,,MC,5,A. This is a ____ integrated circuit. B. It claims its ____ makers can make money.,*semiconductor,magnetize,streambed,endotherm
tumor,science,"6,7,8",21,,MC,5,A. The ____ will soon be resolved. B. Casey died of a brain ____ before the scandal broke.,*tumor,toxin,terminal,ovule
alveoli,science,"6,7,8",20,,MC,5,"A. Development through to Ltakes place in the ____ and bronchi, and the adults migrate to the trachea. B. The ____ are well-aerated and contain only an occasional pulmonary macrophage (type II pneumonocyte).",buoyant,*alveoli,ethanol,lymphatic
aurora,science,"6,7,8",20,,MC,5,"A. The ____ flushed into the sky. B. The ____ borealis was like that, too.",mudflow,*aurora,metaphase,luminous
hyphae,science,"6,7,8",20,,MC,5,"A. Ultrastructural studies of the silky layer revealed that none of the ____ in this layer form haustorial connections with the algae. B. In addition, many fungi are able to parasitize spores, sclerotia, or ____ of other fungi, resulting in biocontrol.",spacesuit,anatomy,equilibrium,*hyphae
asthma,science,"6,7,8",19,,MC,5,A. Hospital admissions for ____ attacks have doubled. B. The report ascribes the rise in childhood ____ to the increase in pollution.,*asthma,fission,hardwood,hairlike
cellulose,science,"6,7,8",19,,MC,5,A. It comprises mainly lignin and ____ fibres too short for re-use with an organic matter content of 1% to 3%. B. You can blow in ____ or fiberglass for $ to $ a square foot.,brittle,*cellulose,clot,toothpaste
chromatid,science,"6,7,8",19,,MC,5,A. METHODSTo determine the sister ____ exchanges SCE of chronic alcoholism patients by peripheral blood culture. B. Methods Experiments of micronucleus and sister ____ exchange(SCE) were applied to determine the genetic toxicity effects of the extract of Papaver Nudicaule L.,radon,gaseous,solenoid,*chromatid
connective,science,"6,7,8",19,,MC,5,A. Vitamin C helps maintain healthy ____ tissue. B. Don't overuse a causal ____ like 'because'.,*connective,anticyclone,resonance,methane
fermentation,science,"6,7,8",19,,MC,5,A. The ____ of milk causes it to curdle. B. Sugar is added to the wine during ____ to increase the alcohol level.,hurl,gemstone,*fermentation,focal
glacial,science,"6,7,8",19,,MC,5,"A. She gave me a ____ smile/stare. B. Change was coming, but at a ____ pace.",hyphae,tumor,*glacial,calcite
homogeneous,science,"6,7,8",19,,MC,5,A. The unemployed are not a ____ group. B. Somalia is an ethnically and linguistically ____ nation.,gemstone,auxin,*homogeneous,rotational
nonpolar,science,"6,7,8",19,,MC,5,"A. Hydrophobic, unbulky and ____ amino acids form long repeat segment easily, the maximal repeat segment length formed by hydrophilic, polar and bulky amino acid is relatively short. B. The ____ segments of surfactauts include straight - chain and branched alkyl groups.",pyrite,*nonpolar,placental,pumice
pasture,science,"6,7,8",19,,MC,5,A. Horses are grazing in the ____. B. The cattle were put out to ____.,*pasture,forearm,vitamin,gravitation
rarefaction,science,"6,7,8",19,,MC,5,A. The ____ wave immediately behind shockwave decompressed the shattered rock and threw them along with jet current. B. The results show that the ____ wave influences the premixed flame structure and propagation greatly.,equinox,fibrosis,*rarefaction,autotroph
contaminate,science,"6,7,8",18,,MC,5,A. One secret military unit tried to ____ the drinking water of the refugees. B. Foreigners are seen to ____ their precious homogeneity and disturb the peace.,*contaminate,lithium,agar,geocentric
eardrum,science,"6,7,8",18,,MC,5,A. He suffered from bruises and a perforated ____ in the accident. B. His ____ was broken in the accident.,*eardrum,vaporization,detergent,pumice
empirical,science,"6,7,8",18,,MC,5,A. There is no ____ evidence to support his thesis. B. The ____ sceptic appropriately responds: how do you know?,*empirical,silica,urea,amoeba
eyepiece,science,"6,7,8",18,,MC,5,A. Changing the ____ means changing the magnification. B. You will also find that the viewfinder ____ is positioned along the side of the camcorder body.,*eyepiece,eukaryote,cornea,interphase
hazardous,science,"6,7,8",18,,MC,5,A. It would be ____ to invest so much. B. These conditions are very ____ for shipping.,urea,polarize,*hazardous,testes
menstrual,science,"6,7,8",18,,MC,5,A. The average length of a woman's ____ cycle is 2days. B. This may refer to the ____ blood and semen consumed sacramentally by some Gnostic groups.,heterogeneous,predation,*menstrual,invert
orbital,science,"6,7,8",18,,MC,5,A. Her ____ speed must be a few hundred meters per second. B. The newly discovered world followed an ____ path unlike that of any other planet.,*orbital,centripetal,desertification,polarize
pancreas,science,"6,7,8",18,,MC,5,"A. The tissue sample of the excised ____ was placed in buffered formalin for two to four hours and transferred to 75% ethanol. B. Briefly, the perfused preparation consisted of ____ with a small remnant of duodenum according to the method as described elsewhere.",airway,polyester,transmission,*pancreas
placenta,science,"6,7,8",18,,MC,5,"A. The latter looks like a ____ and has the same consistency, too. B. No cream whether made of ____ or the brains of aborted the whole woman foetuses or ground glass will break down cellulite.",reactant,*placenta,glassware,ooze
scuba,science,"6,7,8",18,,MC,5,"A. I first got hooked on ____ diving when I was twelve. B. While on honeymoon in Bali, she learned to ____ dive.",homozygous,*scuba,receptor,silica
seedless,science,"6,7,8",18,,MC,5,A. It is a ____ type orange. B. Sultanas are dried white ____ grapes and have a sweeter flavour than either currants or raisins.,detector,combustible,*seedless,oceanographer
silica,science,"6,7,8",18,,MC,5,"A. Soda ____ glasses are not very manageable, however. B. Indeed as pure ____ it is the insulating element in the technology of silicon microchips.",*silica,vitreous,cosmetic,fig
subduction,science,"6,7,8",18,,MC,5,"A. Except where ____ zones lie adjacent to mountain belts on continental margins, plate boundaries do not coincide with continental coastlines. B. The extent of ____ of continental crust below the Himalayas is also in dispute.",sunburn,*subduction,lithium,invert
submerge,science,"6,7,8",18,,MC,5,A. Hippos are unable to ____ in the few remaining water holes. B. The submarine can ____ very quickly.,smelt,starch,fermentation,*submerge
unsaturated,science,"6,7,8",18,,MC,5,"A. They live in ____ habitats where harsh, unpredictable conditions keep populations from reaching full capacity. B. Some methods of modifying ____ polyester (UP) resin by dicyclopentadiene (DCPD) were presented in this paper.",aerobic,sulfate,electrically,*unsaturated
cardiac,science,"6,7,8",17,,MC,5,A. She was given artificial respiration and ____ massage. B. They managed to revive the injured driver with ____ massage.,animalia,alpha,*cardiac,oceanographer
cohesion,science,"6,7,8",17,,MC,5,A. By 199it was clear that the ____ of the armed forces was rapidly breaking down. B. exhibited strong ____ in the family unit.,reverberation,ligament,seaweed,*cohesion
detector,science,"6,7,8",17,,MC,5,"A. A Roman soldier's pay, found by a metal ____ enthusiast in Norfolk, has been declared treasure trove at an inquest in Diss. B. This ____ is a very delicate instrument; it'll go wrong if it's mishandled.",homeostasis,prokaryotic,relatively,*detector
homologous,science,"6,7,8",17,,MC,5,A. These differences help explain why these ____ proteins bind a variety of ligands with different affinities. B. Comparing sensation with a wisp of cotton over ____ areas of the lower extremities is effective in revealing such subtle sensory losses.,*homologous,syringe,clog,hemoglobin
mesosphere,science,"6,7,8",17,,MC,5,"A. The outermost shell of the atmosphere, between the ____ and outer space, where temperatures increase steadily with altitude. B. The rocket had passed the stratosphere and ____ and was leaving the atmosphere.",gizzard,*mesosphere,ohm,uplift
nucleotide,science,"6,7,8",17,,MC,5,A. What genes do is not simply replicate their ____ sequences exactly. B. The ____ sequence data of parthenogenesis bacteria will appear in Genbank under the following accession numbers.,osmosis,seismogram,malleability,*nucleotide
operational,science,"6,7,8",17,,MC,5,A. The boat should be ____ by this afternoon. B. The airport did not become ____ until May.,*operational,ultrasound,anatomy,abdomen
peripheral,science,"6,7,8",17,,MC,5,A. Companies are increasingly keen to contract out ____ activities like training. B. Fund-raising is ____ to their main activities.,sexually,*peripheral,isobar,feldspar
platelet,science,"6,7,8",17,,MC,5,A. Several hormones may stimulate ____ activating factor biosynthesis invitro. B. These results suggest the involvement of ____ activating factor in the endothelin induced fibrinolytic activation and subsequently developed mucosal haemorrhagic lesion.,photochemical,utility,nephron,*platelet
puck,science,"6,7,8",17,,MC,5,A. FoxTrax attempts to solve this problem with a ____ stuffed with circuit boards and infrared emitters. B. Granato can also put the ____ in the net.,noninfectious,*puck,sandbar,epoch
radial,science,"6,7,8",17,,MC,5,A. This car is fitted with ____ tyres. B. The white marble floors were inlaid in a ____ pattern of brass.,insulin,superposition,*radial,cyclic
slime,science,"6,7,8",17,,MC,5,A. There was a coating of ____ on the unwashed sink. B. Frogs produce ____ to keep their skin moist.,melanin,*slime,activate,pulmonary
viral,science,"6,7,8",17,,MC,5,A. Most coughs are ____ in origin . B. A ____ illness left her barely able to walk.,sewage,anode,*viral,airway
abrasion,science,"6,7,8",16,,MC,5,A. There seems to have been some ____ of the surface. B. She had a small ____ on her knee.,fertility,monoxide,*abrasion,excess
appendage,science,"6,7,8",16,,MC,5,A. The committee is a mere ____ of the council and has no power of its own. B. Seeds with hairlike ____ at each end.,oscillation,placenta,*appendage,electromagnetism
beta,science,"6,7,8",16,,MC,5,A. The revolutionary new system goes into ____ test this month. B. Verio will begin ____ trials of the new application service with customers by the end of 1999.,transfusion,pancreas,*beta,pascal
brittle,science,"6,7,8",16,,MC,5,A. The paint was ____ with age. B. The pond was covered in a ____ layer of ice.,barnacle,zygote,*brittle,dendrite
calcite,science,"6,7,8",16,,MC,5,A. The mineral ____ is made up of carbonate sheets and intervening planes of calcium ions. B. This acts with the dissolved rock to form ____ crystals which build into often spectacular formations.,autotroph,tarantula,*calcite,watershed
centripetal,science,"6,7,8",16,,MC,5,A. The happy blood is unable the backflow ____ dirty. B. Its role is to serve as a ____ force against the centrifugal tendencies of the ministries.,sulfuric,genetically,inheritance,*centripetal
chordate,science,"6,7,8",16,,MC,5,"A. The snake belongs to ____ phyla, vertebrate, reptile, squamata, serpents, in the animal kingdom. B. Beginning. This genus is considered a ____ , and the phylum Chordata includes fish, mammals and man.",hypothalamus,ionic,charcoal,*chordate
cinder,science,"6,7,8",16,,MC,5,A. I like my steak burnt to a ____ on the outside and blood red and juicy inside. B. The ball clanks off the rim like a ____ block; an ugly afterthought of a shot attempt.,flagella,metaphase,oscillation,*cinder
deforestation,science,"6,7,8",16,,MC,5,"A. As the pace of ____ picked up, the area of land covered by dense forest declined considerably. B. Environmentalists warn that ____ of this critical watershed area could have disastrous consequences for downstream regions.",*deforestation,dietary,gradient,gemstone
dispersal,science,"6,7,8",16,,MC,5,A. Plants have different mechanisms of ____ for their spores. B. They called for the peaceful ____ of the demonstrators.,clot,*dispersal,corpus,carbonic
fluorine,science,"6,7,8",16,,MC,5,"A. This technique has been used for uranium, copper, ____ and other relatively soluble elements. B. Thus, the content of ____ and uranium in buried bone gradually increases, and can be measured in the laboratory.",permeable,cyclic,wheelbarrow,*fluorine
fracture,science,"6,7,8",16,,MC,5,A. It might be a society that could ____ along class lines. B. Many people predicted that the party would ____ and split.,*fracture,microbe,synapse,magnetize
heterozygous,science,"6,7,8",16,,MC,5,"A. Both patients described were ____ for the missense mutation at codon 20of the prion protein gene. B. In ____ females, pre-B cells whose active X chromosome expresses the mutant gene would not terminally differentiate and proliferate.",*heterozygous,isotope,reflex,infectious
pathway,science,"6,7,8",16,,MC,5,A. The ____ is formed from large pebbles set in concrete. B. Diplomacy will smooth your ____ to success.,alveolus,*pathway,reproductive,electrode
pivot,science,"6,7,8",16,,MC,5,A. Forming the ____ of the exhibition is a large group of watercolours. B. Iago's lie is the ____ on which the play turns.,*pivot,tumor,orbital,trophic
reactor,science,"6,7,8",16,,MC,5,A. Emergency cooling systems could fail and a ____ meltdown could occur. B. They shut down the nuclear ____ for safety reasons.,*reactor,pumice,evolve,platelet
reflex,science,"6,7,8",16,,MC,5,"A. I'm sorry I punched him, it was a ____ action/response. B. Walsh fumbled in his pocket, a ____ from his smoking days.",headland,lanthanide,*reflex,puck
slit,science,"6,7,8",16,,MC,5,A. He ____ open the envelope with a knife. B. They say somebody ____ her throat.,metabolism,diode,*slit,antibody
testes,science,"6,7,8",16,,MC,5,"A. The ____ also are engorged and swell. B. This species has small ____ for its body size, even though the literature records that females associate with several males.",protozoan,*testes,landmass,cystic
thermosphere,science,"6,7,8",16,,MC,5,"A. The ____ interacts strongly with the sun and hence is greatly influenced by the sun's solar activity, which occurs in cycles. B. This is the biggest contraction of the ____ in at least 4years.",uncharged,*thermosphere,alveoli,testes
toothpaste,science,"6,7,8",16,,MC,5,A. He squeezed the last bit ____ out. B. Give the tube of ____ a squeeze.,biosphere,caffeine,*toothpaste,heliocentric
transistor,science,"6,7,8",16,,MC,5,A. The firm excels at producing cheap ____ radios. B. This factory entered into ____ production more than forty years ago.,stimuli,conversion,*transistor,heron
algal,science,"6,7,8",15,,MC,5,"A. Sewage nutrients do increase ____ growth in the harbour. B. Aeration can not be a factor, as this ____ growth also occurs in stagnant water.",placental,inactive,*algal,tumor
armature,science,"6,7,8",15,,MC,5,"A. There he will create a towering bronze ____ to which various body parts, heroic in size, will be affixed. B. Marriage to her was the ____ of my ego; remove the ____ and I might topple like clay.",intake,stimuli,algal,*armature
axon,science,"6,7,8",15,,MC,5,"A. This results in the neighbouring part of the ____ also reaching this potential, thus causing its ion channel to open. B. Experimental evidence also exists for the presence of ____ reflexes in the alimentary canal.",dispersion,malleability,*axon,centripetal
carbonate,science,"6,7,8",15,,MC,5,A. This method produces the following colour differentiation in ____ minerals: Calcite Varying through very pale pink to red. B. The mineral calcite is made up of ____ sheets and intervening planes of calcium ions.,disposal,diaphragm,*carbonate,carbohydrate
cholera,science,"6,7,8",15,,MC,5,A. The ____ has been killing off many children in the town. B. The incidence of ____ in the camps has reached plague proportions.,anode,excess,*cholera,cholesterol
detergent,science,"6,7,8",15,,MC,5,"A. What brand of ____ do you use? B. Leona put some ____ into the dishwasher, shut the door and pressed the switch.",hardwood,reddish,*detergent,covalent
diaphragm,science,"6,7,8",15,,MC,5,A. The ____ is the principal muscle of respiration. B. The ____ draws air into the lungs.,fixation,diffuse,chromatid,*diaphragm
diffuse,science,"6,7,8",15,,MC,5,A. Direct light is better for reading than ____ light. B. The printing press helped ____ scientific knowledge.,brittle,*diffuse,nucleic,porcupine
ecological,science,"6,7,8",15,,MC,5,A. Each animal has its ____ niche. B. The Black Sea is facing ____ catastrophe as a result of pollution.,galvanometer,larynx,obsidian,*ecological
electrically,science,"6,7,8",15,,MC,5,A. This device has a gripper that ____ twists off the jar top. Nothing to it. B. The ____ charged gas particles are affected by magnetic forces.,dendrite,*electrically,vaccination,genotype
endoskeleton,science,"6,7,8",15,,MC,5,"A. As long as the ____ of the heterostracans remains unknown there must always be doubt about the pattern. B. Length frequency analysis, rostral length, ____ length and statolith are used in determination of the age and growth in cephalopod.",precision,*endoskeleton,gemstone,bony
eon,science,"6,7,8",15,,MC,5,"A. For ____s,the pounding waves ate away at the shoreline. B. ____s passed before life existed on the earth.",neutralization,magnetize,*eon,bile
fingerprint,science,"6,7,8",15,,MC,5,A. The ____ expert was asked to testify at the trial. B. Morpho supplies ____ identification systems worldwide and says it has converted more than 12m ____ records.,activate,nearsighted,component,*fingerprint
galvanometer,science,"6,7,8",15,,MC,5,"A. Thermoelectric effect is demonstrated by means of measuring ____ constant and internal resistance, a method for eliminating the effect is presented. B. The scan head combines tandem scanning technology with ____ and piezo - controlled scanning mirrors.",*galvanometer,nucleotide,excretion,mole
ginkgo,science,"6,7,8",15,,MC,5,"A. Conclusion The ____ bilobate extract injection can protect cerebral infarction from injury, which may be related with its action on regulating the blood viscosity and level of blood lipid. B. Results Compound ____ leaf tablet in high dose group could remarkably decrease the level of triacylglycerol(TG) by 28.",abrasion,umbilical,longitudinal,*ginkgo
heartbeat,science,"6,7,8",15,,MC,5,A. Her ____ is only 5at rest. B. Doctors watched the old man's ____ on a monitor.,glucose,*heartbeat,binary,biological
heterogeneous,science,"6,7,8",15,,MC,5,"A. Switzerland is a ____ confederation of 2self-governing cantons. B. Vertical competition, the struggle between ____ enterprises. 3.",*heterogeneous,apparatus,hibernation,symbiotic
hydraulic,science,"6,7,8",15,,MC,5,A. The dimensions of the difficulty for the ____ project have only recently been recognized. B. The platform was elevated by means of ____ legs.,*hydraulic,photosphere,spiny,biotechnology
illuminate,science,"6,7,8",15,,MC,5,A. We ____ the enemy plane with searchlights in order to shoot at it. B. They use games and drawings to ____ their subject.,conversion,waxy,*illuminate,aspirin
inflammatory,science,"6,7,8",15,,MC,5,A. He gave a ____ address to the audience. B. The men were using ____ language/making ____ remarks about the other team's supporters.,dermis,contamination,*inflammatory,obesity
inhale,science,"6,7,8",15,,MC,5,A. It is dangerous to ____ ammonia fumes. B. Smokers who ____ are likely to become addicted to nicotine.,hologram,displace,*inhale,linkage
inversion,science,"6,7,8",15,,MC,5,"A. Although the ____ rate was low for both age groups, it was significantly lower for the eight-year-olds than for the five-year-olds. B. So in three dimensions ____ turns an infinite plane into a finite sphere in a one-to-one mapping of every point.",alluvial,*inversion,cleanup,armature
modulation,science,"6,7,8",15,,MC,5,A. The famine turned the normal ____ of climate into disaster. B. You will find that the ____ is approximately correct when the flashing can only just be seen over the steady glow.,retina,eutrophication,acidity,*modulation
noninfectious,science,"6,7,8",15,,MC,5,A. Management of ____ vaginitis includes identifying and eliminating the offending agent. B. The relevance ratio of ____ diseases is increasing year by year and the rate of labor service personnel is higher than that of public servants.,*noninfectious,charcoal,transfusion,galvanometer
osmosis,science,"6,7,8",15,,MC,5,A. Blood can be cleaned by ____ if the kidneys have failed. B. The Labpure laboratory reverse ____ system from Vaponics can provide up to 378litres of purified water each day.,*osmosis,magnetize,endocytosis,fission
ovule,science,"6,7,8",15,,MC,5,A. A stalk connecting an ____ or a seed with the placenta. B. Nutrients pass through the funicle to the ____ and seed.,seesaw,eutrophication,*ovule,aspirin
protozoan,science,"6,7,8",15,,MC,5,"A. Another parasitic ____ is Myxobolus, this one causing fatal internal cysts and highly resistant to treatment. B. I found the ____ attracted in large numbers to slate panels we deliberately left at vents for one year and then recovered.",decomposition,wasp,starch,*protozoan
syndrome,science,"6,7,8",15,,MC,5,A. Lemon juice can help to prevent economy-class ____ by improving blood circulation. B. This ____ mostly affects women in their forties.,*syndrome,reactant,radon,extract
vaccination,science,"6,7,8",15,,MC,5,A. The ____ doesn't necessarily make you completely immune. B. The pilot programme of ____ proved successful.,fatty,ignite,*vaccination,protozoan
argon,science,"6,7,8",14,,MC,5,"A. Some neon and ____ is probably present as well. B. If a planet remains very cold, the radiogenic ____ remains trapped inside the potassium-bearing minerals in which it is formed.",autotroph,*argon,prophase,amorphous
bony,science,"6,7,8",14,,MC,5,A. That steak is ____ and difficult to eat. B. Antlers are the ____ outgrowths on the heads of deer.,*bony,seedless,osmosis,sulfate
cholesterol,science,"6,7,8",14,,MC,5,A. Many people experienced a drop in their ____ levels when they consumed oat bran. B. Scientists have established a connection between ____ levels and heart disease.,anvil,submerge,fermentation,*cholesterol
cochlea,science,"6,7,8",14,,MC,5,A. The word ____ reflects their resemblance to snail shells. B. Then whether injuried hair cells of ____ have the ability to repair needs to study.,pharynx,disposal,excrete,*cochlea
disposal,science,"6,7,8",14,,MC,5,A. Tanner had a lot of cash at his ____ . B. The ____ of rubbish is always a problem.,infectious,overlapping,depletion,*disposal
epidermis,science,"6,7,8",14,,MC,5,A. The ____ degenerates and little trace of its cells remains in the fully hardened wings. B. The result is an ____ which is better able to mimic the softness and freshness of younger skin.,glassware,antenna,*epidermis,genome
extract,science,"6,7,8",14,,MC,5,A. We can ____ oil from shale. B. They used to ____ iron ore from this site.,*extract,heron,nourish,passageway
fishery,science,"6,7,8",14,,MC,5,A. Most of the people on the island are ____ folk. B. Work began at once to restock the ____ and restore the lodge and collapsed cottages on the estate.,heron,waxy,interneuron,*fishery
flask,science,"6,7,8",14,,MC,5,A. He took out a metal ____ from a canvas bag. B. A vacuum ____ keeps cool drinks cool and hot drinks hot.,*flask,sustainable,antibody,parasitism
heterotroph,science,"6,7,8",14,,MC,5,A. This research illustrates microbial instability in hospital water line from point of ____ bacteria amplification. B. The iron-oxidizing ____ designated SCL2 was cultivated in glycerol salts medium containing 50 mM FeSO4.,*heterotroph,diploid,antenna,desertification
hurl,science,"6,7,8",14,,MC,5,"A. In the past, armies used catapults to ____ heavy stones at enemy fortifications. B. The young track and field athlete could already ____ the discus 6yards.",*hurl,deflate,slate,amino
monoxide,science,"6,7,8",14,,MC,5,"A. Carbon ____ is a colourless, odourless, poisonous gas. B. Both nicotine and carbon ____ inhaled with cigarette smoking have been incriminated as causative factors.",*monoxide,stimuli,cellulose,cholera
obsidian,science,"6,7,8",14,,MC,5,A. A plain black ____ which the Minoan craftsmen tried may have come from the Siftlik area of Cappadocia. B. A single ____ artifact can not be expected to give a reliable date.,pseudopod,placenta,*obsidian,chordate
permafrost,science,"6,7,8",14,,MC,5,"A. Water extraction from ____ by distillation seems rather straight forward. B. Very important to know, because suppose you got ____ under your concrete slab?",seafloor,deforestation,*permafrost,bronchi
permeable,science,"6,7,8",14,,MC,5,A. The solvent passes through the ____ membrane to the solution. B. The skin of amphibians is ____ to water.,alga,chromatin,*permeable,intrusive
photosphere,science,"6,7,8",14,,MC,5,A. There is no sharp break between the ____ and the outer atmosphere of the sun on one side and the solar interior on the other. B. Detailed studies on magnetic field topology above ____ have been done. Sentencedict.com,*photosphere,birthrate,sexually,ampere
reactant,science,"6,7,8",14,,MC,5,A. Abstract: A method of simultaneously determination of ____ and product for esterification of L - phenylalanine was described. B. This proved that a more suitable ____ than urea to synthesize Keto - RDX.,*reactant,component,spectroscope,homeostasis
seafloor,science,"6,7,8",14,,MC,5,A. Thick carpets of the alien species are crowding out oysters and other native species on the ____. B. There are several advantages in using an implosive source for seismic imaging beneath the ____.,*seafloor,energetic,marsupial,hyphae
sexually,science,"6,7,8",14,,MC,5,A. These plants can reproduce ____ and a____. B. Several of the children had been ____ abused.,*sexually,fermentation,transistor,bloodstream
subarctic,science,"6,7,8",14,,MC,5,"A. Lemmings, small rodents of the arctic and ____ regions of the Northern Hemisphere, have long been a byword for mass mindlessness and mass suicide. B. Cold regions include arctic and ____ areas and areas immediately adjoining them.",splint,inflammatory,diffuse,*subarctic
umbra,science,"6,7,8",14,,MC,5,"A. This is a lighter area between the ____ and the edge of a shadow. B. Even in the ____ of sunspots, the strongest region in the solar atmosphere, the magnetic field strength is only about 200Gauss.",aerobic,*umbra,detergent,ecological
urinary,science,"6,7,8",14,,MC,5,"A. In acute infections of the ____ tract the patient may suffer severe pain. B. Some ____ games are fairly harmless, but I reckon this one could damage your delicate vaginal tissue.",seafood,halogens,*urinary,physics
vagina,science,"6,7,8",14,,MC,5,A. Conclusion The modified colporrhaphy with ____ mucosa intact is a safe and efficacy technique . B. Objective To investigate the pharmacokinetics of clindamycin phosphate ____ gel in healthy Chinese female volunteers.,superposition,insulin,interphase,*vagina
vaporization,science,"6,7,8",14,,MC,5,A. Laser ____ in a heated tube provides a means for synthesizing fullerenes by carbon condensation under controlled conditions. B. On ____ it reduces the bulk density of upflowing mixture and promotes the circulation of catalyst.,villi,*vaporization,asphalt,binary
adolescence,science,"6,7,8",13,,MC,5,"A. He grew from ____ to young manhood. B. My childhood and ____ were a joyous outpouring of energy, a ceaseless quest for expression, skill, and experience. School was only a background to the supreme delight of lessons in music, dance, and dramatics, and the thrill of sojourns in the country, theaters, concerts.",*adolescence,cerebrum,topographic,retina
asthenosphere,science,"6,7,8",13,,MC,5,A. This would drag the underlying ____ along and promote a compensatory upward movement within the mantle under mid-oceanic ridges. B. The ____ corresponds approximately to the low - velocity zone.,radish,endoskeleton,detergent,*asthenosphere
caffeine,science,"6,7,8",13,,MC,5,A. It is a well-known fact that ____ is a stimulant. B. As little as 50mg of ____ can produce pharmacological effects.,gemstone,*caffeine,offshore,crustacean
charcoal,science,"6,7,8",13,,MC,5,"A. They make the ____ by burying wood in the ground and then slowly burning it. B. If the ____ does fail to light, use a special liquid spray and light it with a long taper.",*charcoal,osmosis,dilate,vagina
deflation,science,"6,7,8",13,,MC,5,A. There has been a ____ in/of property values. B. The roots of this ____ are too complicated for discussion here.,*deflation,excess,radon,diaphragm
dermis,science,"6,7,8",13,,MC,5,"A. The construction features of fibroblast in the ____ were observed by transmission electron microscope ( TEM ). B. Beneath the ____ lies the panniculus, lobules of fat calls or lipocytes separated by fibrous septa composed of collagen and large blood vessels.",*dermis,fixation,sustainable,slime
diatom,science,"6,7,8",13,,MC,5,"A. Many of the ____ species and even more of the dinoflagellates are endemic to antarctic waters. B. According to the research of sporepollen and ____ fossils, the deposit formed in the dry and warm shallow water environment during later pleistocene epoch.",gemstone,stigma,diaphragm,*diatom
diffraction,science,"6,7,8",13,,MC,5,"A. Two of the pioneers of X-ray ____ were William Bragg and his elder son, Lawrence. B. X-ray ____ and spectroscopic techniques continue to provide important clues, leading towards an understanding of the remarkable specificity of enzymatic catalysis.",resultant,hemoglobin,clog,*diffraction
endoplasmic,science,"6,7,8",13,,MC,5,A. Elongation and unsaturation of fatty acids occurs in both the mitochondria and ____ reticulum. B. Methyl viologen also affects electron-transducing reactions in the ____ reticulum and in mitochondria.,*endoplasmic,allergy,cochlea,urethra
excrete,science,"6,7,8",13,,MC,5,A. The function of the kidneys is to ____ wastes from the body. B. Your open pores ____ sweat and dirt.,eukaryote,crevice,*excrete,diploid
fallopian,science,"6,7,8",13,,MC,5,"A. The ____ tubes connect the ovaries with the uterus. B. The womb, cervix, ____ tubes and ovaries are all left in place.",*fallopian,biological,prokaryotic,watershed
flatworm,science,"6,7,8",13,,MC,5,"A. Sometimes you can find a Zebra ____ sharing the snail shell with the hermit crab. B. Delicate as a flower petal, a marine ____ glides along the Ocean near Micronesia's Yap Islands.",prophase,*flatworm,corpus,rotational
geocentric,science,"6,7,8",13,,MC,5,A. The center of the ____ cosmos had not been salubrious. B. Accuracy of the measurements of the ____ vector is affected by earth oblateness.,longitudinal,projectile,wheelbarrow,*geocentric
gully,science,"6,7,8",13,,MC,5,A. The torrent scoured a ____ down the hillside. B. It's unlikely that this ____ was produced by nature.,*gully,thermostat,smelt,meiosis
heliocentric,science,"6,7,8",13,,MC,5,"A. For example, Copernicus's ____ theory is an example. B. In 149astronomer Corpernicus proposed the ____ cosmology from his observations and calculations of the motion of the heavenly bodies.",atmospheric,*heliocentric,fertility,projectile
hertz,science,"6,7,8",13,,MC,5,A. These radio waves are coming at 1500____. B. This formula differs somewhat from the classical ____ expression for elastic deformation of a plane by a rigid sphere.,pasteurization,symptom,*hertz,fibrosis
hydrochloric,science,"6,7,8",13,,MC,5,"A. Scheele produced chlorine by treating the mineral pyrolusite with ____ acid. B. Today, solvents and corrosive compounds such as ____ acid are commonly supplied in Winchesters.",*hydrochloric,voltage,peroxide,cellulose
